experimento,período,carga,apps,feature,método,nmae,função
2,128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12097515338758102,máximo
2,128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14790769186139277,mínimo
2,128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1355001474648139,mínimo
1,128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.15384278366324056,raw
1,128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10056710255114608,raw
3,64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11084651309284776,raw
3,64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11084651309284776,raw
2,64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09244877963263813,média
2,64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09578939927467887,média
2,64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14005682691857704,máximo
2,64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09201340042293753,máximo
2,64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14232870522032626,mínimo
2,64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10134138575309119,mínimo
1,64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09325846937132315,raw
1,64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09717616097200671,raw
3,32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07775375032883979,raw
3,32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07775375032883979,raw
2,32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07115915171981689,média
2,32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07615933809231464,média
2,32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07432995451008774,máximo
2,32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07732260423935984,máximo
2,32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09331851230333156,mínimo
2,32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07877055722881238,mínimo
1,32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09102875371120511,raw
1,32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0920860290897269,raw
3,16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0886930317050087,raw
3,16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0886930317050087,raw
2,16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08496363379451626,média
2,16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08060274612162587,média
2,16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0930465814213634,máximo
2,16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08001559693428471,máximo
2,16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09987154111426534,mínimo
2,16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07633521738352284,mínimo
1,16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08176856435678148,raw
1,16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08262932310297806,raw
3,8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09464631577107151,raw
3,8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09464631577107151,raw
2,8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09183685055425263,média
2,8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08512115770140595,média
2,8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09542844870791077,máximo
2,8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08570606411670083,máximo
2,8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08183723944928291,mínimo
2,8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08316830310550043,mínimo
1,8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07983411612203686,raw
1,8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07845375182100224,raw
2,4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0833759608617017,média
2,4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07566315644342485,média
2,4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08658125495519814,máximo
2,4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07613399031397786,máximo
2,4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08391390950202571,mínimo
2,4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0763053619924181,mínimo
1,4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07835171055508537,raw
1,4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07441795329049666,raw
2,2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0753067505556434,média
2,2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07093319617154313,média
2,2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0766738734600544,máximo
2,2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07105251152246876,máximo
2,2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07743885823265288,mínimo
2,2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07010414098711436,mínimo
1,2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07993773286831689,raw
1,2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07332573026631212,raw
3,256,PeriodicLoad,SingleApp,DispFrames,RT,0.07678962980010101,raw
3,256,PeriodicLoad,SingleApp,DispFrames,RF,0.07678962980010101,raw
2,256,PeriodicLoad,SingleApp,DispFrames,RT,0.03751222599390139,média
2,256,PeriodicLoad,SingleApp,DispFrames,RF,0.033001753191543755,média
2,256,PeriodicLoad,SingleApp,DispFrames,RT,0.07480550281597402,máximo
2,256,PeriodicLoad,SingleApp,DispFrames,RF,0.03561985389537745,máximo
2,256,PeriodicLoad,SingleApp,DispFrames,RT,0.03949635297802837,mínimo
2,256,PeriodicLoad,SingleApp,DispFrames,RF,0.038321898433154984,mínimo
1,256,PeriodicLoad,SingleApp,DispFrames,RT,0.05375064004096262,raw
1,256,PeriodicLoad,SingleApp,DispFrames,RF,0.05590011094043353,raw
3,128,PeriodicLoad,SingleApp,DispFrames,RT,0.1680262803907886,raw
3,128,PeriodicLoad,SingleApp,DispFrames,RF,0.1680262803907886,raw
2,128,PeriodicLoad,SingleApp,DispFrames,RT,0.10923113822997403,média
