experimento,período,Features,função
256,[['0_cpu16_.sys_mean', '5_i129_intr.s_mean', '5_orq6.s_mean', '5_omcpck6.s_mean', '5_omsg6.s_mean', '5_ogmbr6.s_mean', '0_cpu3_.sys_std', '0_cpu5_.sys_std', '0_cpu12_.sys_std', '5_cpu20_.sys_median', '4_totsck_25th', '0_cpu2_.sys_75th']],raw
2,64,média,[['2_tcpsck', '3_proc.s', '3_tcpsck', '4_proc.s', '4_dev8.0_await', '4_dev8.5_await', '4_tcpsck', '5_inode.nr', '5_totsck', '5_tcpsck', '5_active.s', '5_passive.s']],média
2,64,máximo,[['2_kbmemfree', '3_dev8.0_avgqu.sz', '3_dev8.5_tps', '3_dev8.5_avgqu.sz', '3_dev252.0_avgqu.sz', '4_kbmemfree', '4_eth1_rxpck.s', '4_eth1_txpck.s', '4_eth1_rxkB.s', '4_eth1_txkB.s', '4_eth1_.ifutil', '5_passive.s']],máximo
2,64,mínimo,[['0_orq.s', '3_i129_intr.s', '3_i130_intr.s', '3_i132_intr.s', '3_irec.s', '3_idel.s', '3_iseg.s', '4_kbmemused', '4_X..memused', '4_totsck', '5_i140_intr.s', '5_passive.s']],mínimo
1,64,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '2_tcpsck', '3_i132_intr.s', '3_file.nr', '4_kbcommit', '4_file.nr', '4_plist.sz', '4_totsck']],raw
32,[['2_kbmemfree_median', '2_kbmemused_median', '2_X..memused_median', '3_kbmemfree_median', '3_kbmemused_median', '3_X..memused_median', '3_kbactive_median', '3_i128_intr.s_25th', '3_kbmemused_25th', '3_X..memused_25th', '3_kbactive_25th', '3_kbmemfree_75th']],raw
2,32,média,[['2_kbmemfree', '2_kbmemused', '2_X..memused', '2_kbactive', '2_file.nr', '3_i128_intr.s', '3_kbmemfree', '3_kbmemused', '3_X..memused', '3_kbactive', '3_file.nr', '3_totsck']],média
2,32,máximo,[['2_kbmemfree', '2_kbmemused', '2_X..memused', '2_kbactive', '2_file.nr', '3_kbmemfree', '3_kbmemused', '3_X..memused', '3_kbactive', '3_file.nr', '4_kbmemfree', '4_runq.sz']],máximo
2,32,mínimo,[['2_kbmemused', '2_X..memused', '2_file.nr', '3_i128_intr.s', '3_kbmemused', '3_X..memused', '3_kbactive', '3_file.nr', '3_runq.sz', '4_kbmemused', '4_X..memused', '4_kbactive']],mínimo
1,32,[['2_file.nr', '2_ldavg.1', '3_kbmemfree', '3_kbmemused', '3_X..memused', '3_kbactive', '3_file.nr', '3_runq.sz', '3_ldavg.1', '4_X..memused', '4_file.nr', '4_ldavg.1']],raw
16,[['2_file.nr_mean', '3_i128_intr.s_mean', '3_file.nr_mean', '2_kbmemfree_median', '2_kbmemused_median', '2_X..memused_median', '2_file.nr_median', '3_i128_intr.s_median', '3_file.nr_median', '2_file.nr_25th', '3_i128_intr.s_25th', '2_file.nr_75th']],raw
2,16,média,[['2_kbmemfree', '2_kbmemused', '2_X..memused', '2_kbactive', '2_file.nr', '3_i128_intr.s', '3_kbmemfree', '3_kbmemused', '3_kbactive', '3_file.nr', '3_runq.sz', '4_file.nr']],média
2,16,máximo,[['2_kbmemfree', '2_kbmemused', '2_X..memused', '2_kbactive', '2_file.nr', '3_kbmemfree', '3_kbmemused', '3_kbactive', '3_file.nr', '3_runq.sz', '4_kbmemfree', '4_runq.sz']],máximo
