,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,switch,nmae
151,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWA2,0.34679738456826764
152,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWA3,0.32935882674699546
153,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWA3,0.3293554852916579
154,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWA4,0.3293531403634042
155,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWA4,0.3293504686290135
156,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWA5,0.32834933140790135
157,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWA5,0.3086469086391443
158,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWA6,0.32935882674699546
159,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWA6,0.3293554852916579
160,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWB1,0.31803706627435496
161,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWB1,0.2953893176573747
162,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWB2,0.3698325840795969
163,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWB2,0.3487017931435676
164,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWB3,0.3494486961959781
165,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWB3,0.3255143593642559
166,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWB4,0.3670548774965869
167,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWB4,0.3446805956531577
168,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWC1,0.13426941729886407
169,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWC1,0.12916260181761333
