período,função,carga,apps,feature,método,nmae
256,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.14265810530808046,
256,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.12398945783603592,
256,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.1090700590510233,
256,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.1191716472964443,
128,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10316644536676582,
128,média,PeriodicLoad,SingleApp,DispFrames,RF,0.10576920121134196,
128,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.11060227001145255,
128,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.10772026867645988,
128,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.13979560999728752,
128,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.11650488632412422,
64,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10943375853145952,
64,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09523262879181112,
64,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.09299855280888279,
64,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.0938821703654998,
64,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.10711949083133639,
64,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09841523661204797,
32,média,PeriodicLoad,SingleApp,DispFrames,RT,0.12079621368852418,
32,média,PeriodicLoad,SingleApp,DispFrames,RF,0.10340813190738284,
32,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.10951130621763994,
32,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.10525267890265633,
32,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.10328075498999846,
32,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.10107657291279398,
16,média,PeriodicLoad,SingleApp,DispFrames,RT,0.11049529122389212,
16,média,PeriodicLoad,SingleApp,DispFrames,RF,0.10189930897594857,
16,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.11269604929114413,
16,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.10329761302047936,
16,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.10901029785856574,
16,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.10812085037632511,
8,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10045671197352725,
8,média,PeriodicLoad,SingleApp,DispFrames,RF,0.0987930787149986,
8,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.10605080195896827,
8,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09955839502723707,
8,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.11234563744223813,
8,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.10357120543233363,
4,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10497979811926565,
4,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09816780848461121,
4,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.10482425343289896,
4,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09775418587638236,
4,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.10568047657068975,
4,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09926309272978284,
2,média,PeriodicLoad,SingleApp,DispFrames,RT,0.09837479937295841,
2,média,PeriodicLoad,SingleApp,DispFrames,RF,0.0940714017867053,
2,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.10006961860022852,
2,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09367752667293681,
2,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.09597357054800093,
2,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09130282287631057,
