,k_best,LoadPattern,ExpType,RegressionMethod,ReadsAvgNmae,ReadsAvgTrainingTime,DispFramesNmae,DispFramesTrainingTime,ReadsAvgNmaeOriginal,ReadsAvgTrainingTimeOriginal,DispFramesNmaeOriginal,DispFramesTrainingTimeOriginal,DeltaToOriginalReadsAvgNmae,DeltaToOriginalDispFramesNmae
27,14,PeriodicLoad,BothApps,RandomForest,0.04210092691257722,6.044955492019653,0.1066151309124474,3.7516212463378906,0.02,30,0.11,38,0.02210092691257722,-0.0033848690875526027
28,15,PeriodicLoad,BothApps,RandomForest,0.042018527396452156,6.8840625286102295,0.10703255738910525,4.157315254211426,0.02,32,0.11,40,0.022018527396452155,-0.002967442610894752
29,15,PeriodicLoad,BothApps,RandomForest,0.042018527396452156,6.8840625286102295,0.10703255738910525,4.157315254211426,0.02,30,0.11,38,0.022018527396452155,-0.002967442610894752
30,16,PeriodicLoad,BothApps,RandomForest,0.042062492623507496,6.654186964035034,0.10177204574618968,4.710792541503906,0.02,32,0.11,40,0.022062492623507495,-0.008227954253810316
31,16,PeriodicLoad,BothApps,RandomForest,0.042062492623507496,6.654186964035034,0.10177204574618968,4.710792541503906,0.02,30,0.11,38,0.022062492623507495,-0.008227954253810316
32,1,PeriodicLoad,SingleApp,RegTree,0.026553335550664026,0.013200759887695312,0.07579699961527027,0.047528982162475586,0.02,1,0.14,1,0.006553335550664025,-0.06420300038472974
33,1,PeriodicLoad,SingleApp,RegTree,0.026553335550664026,0.013200759887695312,0.07579699961527027,0.047528982162475586,0.02,1,0.12,1,0.006553335550664025,-0.044203000384729726
34,2,PeriodicLoad,SingleApp,RegTree,0.034148432116232384,0.10317254066467285,0.09543279545951372,0.21062517166137695,0.02,1,0.14,1,0.014148432116232384,-0.044567204540486294
35,2,PeriodicLoad,SingleApp,RegTree,0.034148432116232384,0.10317254066467285,0.09543279545951372,0.21062517166137695,0.02,1,0.12,1,0.014148432116232384,-0.024567204540486276
36,3,PeriodicLoad,SingleApp,RegTree,0.03532140945612103,0.17946481704711914,0.06928532681299641,0.24755525588989258,0.02,1,0.14,1,0.015321409456121027,-0.0707146731870036
37,3,PeriodicLoad,SingleApp,RegTree,0.03532140945612103,0.17946481704711914,0.06928532681299641,0.24755525588989258,0.02,1,0.12,1,0.015321409456121027,-0.05071467318700358
38,4,PeriodicLoad,SingleApp,RegTree,0.03487315667886863,0.12999773025512695,0.06931771259240067,0.16666793823242188,0.02,1,0.14,1,0.01487315667886863,-0.07068228740759934
39,4,PeriodicLoad,SingleApp,RegTree,0.03487315667886863,0.12999773025512695,0.06931771259240067,0.16666793823242188,0.02,1,0.12,1,0.01487315667886863,-0.05068228740759932
40,5,PeriodicLoad,SingleApp,RegTree,0.03421169959323096,0.17661380767822266,0.07260891742435897,0.23228669166564941,0.02,1,0.14,1,0.014211699593230962,-0.06739108257564104
41,5,PeriodicLoad,SingleApp,RegTree,0.03421169959323096,0.17661380767822266,0.07260891742435897,0.23228669166564941,0.02,1,0.12,1,0.014211699593230962,-0.04739108257564102
42,6,PeriodicLoad,SingleApp,RegTree,0.033961110637990385,0.21279215812683105,0.07383552881929545,0.2922184467315674,0.02,1,0.14,1,0.013961110637990385,-0.06616447118070456
43,6,PeriodicLoad,SingleApp,RegTree,0.033961110637990385,0.21279215812683105,0.07383552881929545,0.2922184467315674,0.02,1,0.12,1,0.013961110637990385,-0.04616447118070455
44,7,PeriodicLoad,SingleApp,RegTree,0.03397479128440812,0.2551612854003906,0.0743820388467424,0.29085874557495117,0.02,1,0.14,1,0.013974791284408119,-0.06561796115325762
45,7,PeriodicLoad,SingleApp,RegTree,0.03397479128440812,0.2551612854003906,0.0743820388467424,0.29085874557495117,0.02,1,0.12,1,0.013974791284408119,-0.0456179611532576
46,8,PeriodicLoad,SingleApp,RegTree,0.033367201859667885,0.2853047847747803,0.07900106063427549,0.3199949264526367,0.02,1,0.14,1,0.013367201859667884,-0.06099893936572452
47,8,PeriodicLoad,SingleApp,RegTree,0.033367201859667885,0.2853047847747803,0.07900106063427549,0.3199949264526367,0.02,1,0.12,1,0.013367201859667884,-0.040998939365724504
48,9,PeriodicLoad,SingleApp,RegTree,0.033837816260886146,0.3270137310028076,0.07951518488231817,0.3292679786682129,0.02,1,0.14,1,0.013837816260886145,-0.06048481511768185
49,9,PeriodicLoad,SingleApp,RegTree,0.033837816260886146,0.3270137310028076,0.07951518488231817,0.3292679786682129,0.02,1,0.12,1,0.013837816260886145,-0.04048481511768183
50,10,PeriodicLoad,SingleApp,RegTree,0.03369759667554039,0.3718395233154297,0.07699719053363668,0.3386244773864746,0.02,1,0.14,1,0.01369759667554039,-0.06300280946636333
51,10,PeriodicLoad,SingleApp,RegTree,0.03369759667554039,0.3718395233154297,0.07699719053363668,0.3386244773864746,0.02,1,0.12,1,0.01369759667554039,-0.04300280946636331
52,11,PeriodicLoad,SingleApp,RegTree,0.03350543943379312,0.3969392776489258,0.07855980438989241,0.38346195220947266,0.02,1,0.14,1,0.013505439433793117,-0.061440195610107606
53,11,PeriodicLoad,SingleApp,RegTree,0.03350543943379312,0.3969392776489258,0.07855980438989241,0.38346195220947266,0.02,1,0.12,1,0.013505439433793117,-0.04144019561010759
54,12,PeriodicLoad,SingleApp,RegTree,0.033650366758298016,0.4432234764099121,0.07842216482742428,0.4223670959472656,0.02,1,0.14,1,0.013650366758298015,-0.06157783517257573
55,12,PeriodicLoad,SingleApp,RegTree,0.033650366758298016,0.4432234764099121,0.07842216482742428,0.4223670959472656,0.02,1,0.12,1,0.013650366758298015,-0.04157783517257571
56,13,PeriodicLoad,SingleApp,RegTree,0.03327259114401369,0.541853666305542,0.08034911870197796,0.4509572982788086,0.02,1,0.14,1,0.013272591144013687,-0.059650881298022054
57,13,PeriodicLoad,SingleApp,RegTree,0.03327259114401369,0.541853666305542,0.08034911870197796,0.4509572982788086,0.02,1,0.12,1,0.013272591144013687,-0.03965088129802204
58,14,PeriodicLoad,SingleApp,RegTree,0.033301714498680975,0.5181920528411865,0.07997263401640341,0.47748470306396484,0.02,1,0.14,1,0.013301714498680974,-0.060027365983596606
59,14,PeriodicLoad,SingleApp,RegTree,0.033301714498680975,0.5181920528411865,0.07997263401640341,0.47748470306396484,0.02,1,0.12,1,0.013301714498680974,-0.04002736598359659
60,15,PeriodicLoad,SingleApp,RegTree,0.03338530061095628,0.5686178207397461,0.07996453757155234,0.4994077682495117,0.02,1,0.14,1,0.013385300610956278,-0.06003546242844768
61,15,PeriodicLoad,SingleApp,RegTree,0.03338530061095628,0.5686178207397461,0.07996453757155234,0.4994077682495117,0.02,1,0.12,1,0.013385300610956278,-0.04003546242844766
62,16,PeriodicLoad,SingleApp,RegTree,0.03334592555917323,0.6050193309783936,0.08110208807312709,0.518275260925293,0.02,1,0.14,1,0.013345925559173227,-0.05889791192687292
63,16,PeriodicLoad,SingleApp,RegTree,0.03334592555917323,0.6050193309783936,0.08110208807312709,0.518275260925293,0.02,1,0.12,1,0.013345925559173227,-0.038897911926872905
