período,carga,apps,feature,método,nmae,
2,PeriodicLoad,BothApps,ReadsAvg,RT,0.08348112673343229,
2,PeriodicLoad,BothApps,ReadsAvg,RF,0.0640380674208964,
4,PeriodicLoad,BothApps,ReadsAvg,RT,0.08492731430387142,
4,PeriodicLoad,BothApps,ReadsAvg,RF,0.06437617674107962,
8,PeriodicLoad,BothApps,ReadsAvg,RT,0.08813136564958238,
8,PeriodicLoad,BothApps,ReadsAvg,RF,0.0672518975348993,
16,PeriodicLoad,BothApps,ReadsAvg,RT,0.08191319893260188,
16,PeriodicLoad,BothApps,ReadsAvg,RF,0.06593754465369582,
32,PeriodicLoad,BothApps,ReadsAvg,RT,0.08166534231416349,
32,PeriodicLoad,BothApps,ReadsAvg,RF,0.06465942650825943,
64,PeriodicLoad,BothApps,ReadsAvg,RT,0.08775208753128469,
64,PeriodicLoad,BothApps,ReadsAvg,RF,0.062313688753138925,
128,PeriodicLoad,BothApps,ReadsAvg,RT,0.08608204512450542,
128,PeriodicLoad,BothApps,ReadsAvg,RF,0.06173157089976549,
256,PeriodicLoad,BothApps,ReadsAvg,RT,0.06801122234168785,
256,PeriodicLoad,BothApps,ReadsAvg,RF,0.058625996714954706,
2,PeriodicLoad,BothApps,WritesAvg,RT,0.08252042742432598,
2,PeriodicLoad,BothApps,WritesAvg,RF,0.060972220168583675,
4,PeriodicLoad,BothApps,WritesAvg,RT,0.08583905516460369,
4,PeriodicLoad,BothApps,WritesAvg,RF,0.06184475240053926,
8,PeriodicLoad,BothApps,WritesAvg,RT,0.08267248249447065,
8,PeriodicLoad,BothApps,WritesAvg,RF,0.06288825283061439,
16,PeriodicLoad,BothApps,WritesAvg,RT,0.0872167090500752,
16,PeriodicLoad,BothApps,WritesAvg,RF,0.06652336234859339,
32,PeriodicLoad,BothApps,WritesAvg,RT,0.0820049461878857,
32,PeriodicLoad,BothApps,WritesAvg,RF,0.06359019476529792,
64,PeriodicLoad,BothApps,WritesAvg,RT,0.0836925806761555,
64,PeriodicLoad,BothApps,WritesAvg,RF,0.0654865339464954,
128,PeriodicLoad,BothApps,WritesAvg,RT,0.07189250746406596,
128,PeriodicLoad,BothApps,WritesAvg,RF,0.061647319582800106,
256,PeriodicLoad,BothApps,WritesAvg,RT,0.076049475235137,
256,PeriodicLoad,BothApps,WritesAvg,RF,0.06102957680833144,
2,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.0529466652885437,
2,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.04093151839712701,
4,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.05281166974326235,
4,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.040481955599225725,
8,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.05437141413271934,
8,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.04218553595301882,
16,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.054968301679605425,
16,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.04123701136639018,
32,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.06365809791814678,
32,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.048082917819076,
