período,carga,apps,feature,método,nmae,
2,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.029203464006038366,
2,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.020610364852217483,
4,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.030401730126979186,
4,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.0207970730513368,
8,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.03074514334227838,
8,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.022739061960539476,
16,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.034014382322661234,
16,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.025574158677547528,
32,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.03173841649795607,
32,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.022837318744904144,
64,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.02685402169039088,
64,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.02067117676757321,
128,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.029924153560497883,
128,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.020794818913746738,
256,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.03900805459402269,
256,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.024185701427549663,
2,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03347088873806136,
2,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02382401036219948,
4,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03377130785385656,
4,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02474679163600451,
8,PeriodicLoad,SingleApp,ReadsAvg,RT,0.0351102468735809,
8,PeriodicLoad,SingleApp,ReadsAvg,RF,0.025266347199053744,
16,PeriodicLoad,SingleApp,ReadsAvg,RT,0.030781636661725415,
16,PeriodicLoad,SingleApp,ReadsAvg,RF,0.024087948923648808,
32,PeriodicLoad,SingleApp,ReadsAvg,RT,0.030911409471289605,
32,PeriodicLoad,SingleApp,ReadsAvg,RF,0.022976421355801264,
64,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03256739402188429,
64,PeriodicLoad,SingleApp,ReadsAvg,RF,0.023063303236063294,
128,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03269763971447384,
128,PeriodicLoad,SingleApp,ReadsAvg,RF,0.020749523312740315,
256,PeriodicLoad,SingleApp,ReadsAvg,RT,0.038500354172225144,
256,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02552279512794153,
2,PeriodicLoad,SingleApp,WritesAvg,RT,0.03473125191729667,
2,PeriodicLoad,SingleApp,WritesAvg,RF,0.02471653829103538,
4,PeriodicLoad,SingleApp,WritesAvg,RT,0.035929365775508905,
4,PeriodicLoad,SingleApp,WritesAvg,RF,0.026102233071395774,
8,PeriodicLoad,SingleApp,WritesAvg,RT,0.038187777632639856,
8,PeriodicLoad,SingleApp,WritesAvg,RF,0.026691264010763056,
16,PeriodicLoad,SingleApp,WritesAvg,RT,0.04026295582227428,
16,PeriodicLoad,SingleApp,WritesAvg,RF,0.02874899480694075,
32,PeriodicLoad,SingleApp,WritesAvg,RT,0.03373920678887829,
32,PeriodicLoad,SingleApp,WritesAvg,RF,0.024520422699505842,
64,PeriodicLoad,SingleApp,WritesAvg,RT,0.036245510872985665,
64,PeriodicLoad,SingleApp,WritesAvg,RF,0.028683101210633718,
128,PeriodicLoad,SingleApp,WritesAvg,RT,0.03400771640438235,
128,PeriodicLoad,SingleApp,WritesAvg,RF,0.02304850640519969,
256,PeriodicLoad,SingleApp,WritesAvg,RT,0.03623424504927729,
256,PeriodicLoad,SingleApp,WritesAvg,RF,0.0280355184217884,
