período,função,carga,apps,feature,método,switch,nmae,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.0002202286025395123,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.4269270207063599,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.42607151371499186,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.09834792082182932,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.09819610744662134,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.0004331189729056788,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.00043957273243560614,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.5405986982056975,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.5405074728889198,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.10135820928565223,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.10132843557155595,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.0008594149866694841,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.0008103646720595777,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.8334889240506328,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.8331743802742616,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.08598898464796073,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.08602031844628767,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.0017197837100846826,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.0016784675849168145,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.9135404679708478,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.9129631760644419,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.1384060916057226,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.1383671369989351,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.12114798175502099,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.12115264155030471,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.1609266819764654,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.16088990963333125,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.1320794510278098,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.13182945088594328,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.0894942348750946,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.08962609687206245,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.20139336933495222,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.20155763677567026,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.1284480679791487,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.12820568267603827,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.03684665871492474,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.03708350575551923,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.26517938167925964,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.2650331068058674,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.11387163701270035,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.11405724658955267,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.000966158150798337,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.0009836285500364212,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.3232256978876109,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.3237792333271187,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.11301755455065607,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.11151634079930867,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.0003051571559353067,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.0003051571559353067,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.431419600807356,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.43085326438267624,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.09968695135677026,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.0979298412124904,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.0004471232092715464,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.000444146268399496,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.5177317639849874,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.5176739985191616,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.0882174631515939,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.07998263925839733,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.0004813414548763991,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.0004595543930410366,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.6283455803475648,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.6282369663162412,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.09100878927360634,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.08756396799117969,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.0009320629660315112,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.000938383295624378,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.8062428078250863,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.8045508486766397,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13169500572654577,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.12672770231635752,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.10641231196576831,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.10667153453634391,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.1594685261569947,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.15220274557310254,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.12609378971228208,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.11897039974365137,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.08852347787910837,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.08478161814106017,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.18374906326945725,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.172227634443136,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.11155957044371635,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.10495266198798979,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.03424151735395857,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.03354677601150453,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.25797604899899446,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.23564692080324223,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.09532370394791066,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.09109775508942553,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.0004571776897287412,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.0008705425175251448,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.31674733785091963,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.2873257502420135,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.09220071454127798,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.08631032939073861,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.00015260186174271325,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.0001576885904674706,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.3415283753329236,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.30926722666120326,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.09367122677888373,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.08699074002184297,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.0003040437823046519,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.0003040437823046519,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.4319012797074954,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.396377970749543,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.07887941312255531,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.06657454429230229,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.0,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.00013586956521739,
