,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,nmae,training_time
159,7,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.11108449686938414,0.8236792087554932
160,8,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11776119558858332,0.7935149669647217
161,8,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.11119568330792953,0.7935149669647217
162,9,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11341771942930015,0.7767705917358398
163,9,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10832004210994474,0.7767705917358398
164,10,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11274519910765463,0.8370699882507324
165,10,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10821899957104215,0.8370699882507324
166,11,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11552956813922577,0.9716408252716064
167,11,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.1095322564005692,0.9716408252716064
168,12,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11652796257882166,0.7656192779541016
169,12,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10939021165114339,0.7656192779541016
170,13,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11579823051820538,0.8562922477722168
171,13,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.11029651302814358,0.8562922477722168
172,14,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.1185436643746411,0.8055891990661621
173,14,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10977532555939397,0.8055891990661621
174,15,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11574555751902867,0.8278775215148926
175,15,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.11092177095977365,0.8278775215148926
176,16,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11562400442386578,0.9393563270568848
177,16,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10997434314995964,0.9393563270568848
178,17,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11805311881762832,0.8263037204742432
179,17,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.11145557708848669,0.8263037204742432
180,0,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3229114344232709,1.1614172458648682
181,0,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.2501654842648943,1.1614172458648682
182,1,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3141950237866921,1.0013346672058105
183,1,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24496878113092735,1.0013346672058105
184,2,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3156795567457673,1.182577133178711
185,2,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.2475806543028649,1.182577133178711
186,3,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.32685015072039725,1.243689775466919
187,3,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24811742953115087,1.243689775466919
188,4,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3080898390253283,1.0688867568969727
