período,carga,apps,feature,método,switch,nmae,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.1088910761154856,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.1441236427599751,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.14413496853453217,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.14430056818811884,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.14395906100044956,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.13818604788999525,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.13800066992586166,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.14670142295662894,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.1465137767542415,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.1326884202265088,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.13246887641085223,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.14092661333464007,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.14115657196760872,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.1602694977541854,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.16079219787365956,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.12673504273504274,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.12749971509971522,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.1478648057494011,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.14366118474348738,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.14476289734236583,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.14311524231370507,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.14155458371152735,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.13651165295999854,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.14808059033247656,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.14387969949055265,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.13965573238064308,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.13780312872144634,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.1147909967845659,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.11216773847802784,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.11447811447811448,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.11908529741863076,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.10955414012738852,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.1028556263269639,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.13262622995294093,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.12899278346451673,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.12159303049159925,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.12080757795754683,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.13714616785300446,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.1313124206809027,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.13863277680870503,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.13278580723758893,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.11102185089974292,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.10528732862039418,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.14345991561181434,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.13064481229038188,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.12432795698924733,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.12598566308243728,
