período,Features,
64,[['0_i127_intr.s', '0_i132_intr.s', '0_i133_intr.s', '0_eth1_txpck.s', '0_irec.s', '0_idel.s', '0_orq.s', '0_iseg.s', '0_oseg.s', '1_i127_intr.s', '1_i128_intr.s', '1_idel.s']],
128,[['0_i126_intr.s', '0_i127_intr.s', '0_i129_intr.s', '0_i130_intr.s', '0_i131_intr.s', '0_i132_intr.s', '0_i133_intr.s', '0_irec.s', '0_idel.s', '0_orq.s', '0_iseg.s', '0_oseg.s']],
256,[['0_i133_intr.s', '0_eth1_rxkB.s', '2_i138_intr.s', '2_i141_intr.s', '3_i127_intr.s', '3_i128_intr.s', '3_eth1_.ifutil', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '3_oseg.s']],
2,[['1_i127_intr.s', '1_irec.s', '1_idel.s', '1_iseg.s', '4_i118_intr.s', '4_i123_intr.s', '4_i124_intr.s', '4_irec.s', '4_idel.s', '4_iseg.s', '5_irec.s', '5_iseg.s']],
4,[['1_i127_intr.s', '1_irec.s', '1_idel.s', '1_iseg.s', '4_i118_intr.s', '4_i123_intr.s', '4_irec.s', '4_idel.s', '4_iseg.s', '5_irec.s', '5_idel.s', '5_iseg.s']],
8,[['1_i127_intr.s', '1_i132_intr.s', '1_irec.s', '1_idel.s', '1_iseg.s', '4_i123_intr.s', '4_irec.s', '4_idel.s', '4_iseg.s', '5_irec.s', '5_idel.s', '5_iseg.s']],
16,[['1_i127_intr.s', '1_irec.s', '1_idel.s', '1_iseg.s', '3_i133_intr.s', '3_irec.s', '3_iseg.s', '4_i123_intr.s', '4_i124_intr.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
32,[['1_i127_intr.s', '1_eth1_rxpck.s', '1_eth1_txpck.s', '1_irec.s', '1_idel.s', '1_orq.s', '1_iseg.s', '1_oseg.s', '3_i133_intr.s', '4_i123_intr.s', '4_i124_intr.s', '5_i141_intr.s']],
64,[['1_i127_intr.s', '1_i132_intr.s', '1_eth1_rxpck.s', '1_eth1_txpck.s', '1_eth1_rxkB.s', '1_irec.s', '1_idel.s', '1_iseg.s', '2_eth1_rxkB.s', '3_i133_intr.s', '4_i118_intr.s', '4_i123_intr.s']],
128,[['1_i127_intr.s', '1_i132_intr.s', '1_eth1_rxpck.s', '1_eth1_txpck.s', '1_irec.s', '1_idel.s', '1_iseg.s', '2_eth1_rxpck.s', '2_eth1_rxkB.s', '3_i133_intr.s', '4_i118_intr.s', '5_i141_intr.s']],
