período,carga,apps,feature,método,nmae
2,PeriodicLoad,SingleApp,WritesAvg,RF,0.02518697306601711,
4,PeriodicLoad,SingleApp,WritesAvg,RT,0.036643373657103746,
4,PeriodicLoad,SingleApp,WritesAvg,RF,0.026103280995069703,
8,PeriodicLoad,SingleApp,WritesAvg,RT,0.03878421653968256,
8,PeriodicLoad,SingleApp,WritesAvg,RF,0.026689802177623637,
16,PeriodicLoad,SingleApp,WritesAvg,RT,0.03768059794198043,
16,PeriodicLoad,SingleApp,WritesAvg,RF,0.023856614115755764,
32,PeriodicLoad,SingleApp,WritesAvg,RT,0.035976527375574927,
32,PeriodicLoad,SingleApp,WritesAvg,RF,0.025109962434031248,
64,PeriodicLoad,SingleApp,WritesAvg,RT,0.03435215831716365,
64,PeriodicLoad,SingleApp,WritesAvg,RF,0.025931243748713313,
128,PeriodicLoad,SingleApp,WritesAvg,RT,0.0409593294631618,
128,PeriodicLoad,SingleApp,WritesAvg,RF,0.027672324498951066,
256,PeriodicLoad,SingleApp,WritesAvg,RT,0.034880541673493574,
256,PeriodicLoad,SingleApp,WritesAvg,RF,0.030669736563643846,
