experimento,período,carga,apps,feature,método,nmae,função
2,256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12101910828025479,máximo
2,256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1269108280254777,máximo
2,256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11464968152866244,mínimo
2,256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11677282377919322,mínimo
1,256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.055248618784530384,raw
1,256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08987108655616945,raw
3,128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11044776119402987,raw
3,128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11119402985074628,raw
2,128,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14029850746268657,média
2,128,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12087064676616914,média
2,128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0746268656716418,máximo
2,128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10248756218905472,máximo
2,128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1582089552238806,mínimo
2,128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11803482587064675,mínimo
1,128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09455587392550144,raw
1,128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.060697230181470885,raw
3,64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14666666666666667,raw
3,64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09771604938271604,raw
2,64,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11851851851851852,média
2,64,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10180246913580246,média
2,64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1051851851851852,máximo
2,64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09216049382716048,máximo
2,64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.16592592592592592,mínimo
2,64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10732098765432098,mínimo
1,64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.119533527696793,raw
1,64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09481292517006804,raw
3,32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11388684790595151,raw
3,32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08742346313984814,raw
2,32,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0911094783247612,média
2,32,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0887460200832721,média
2,32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08817046289493019,máximo
2,32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0881704628949302,máximo
2,32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1080088170462895,mínimo
2,32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08832353661523389,mínimo
1,32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07355021216407355,raw
1,32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08613861386138616,raw
3,16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0764685436218283,raw
3,16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.055772795736299376,raw
2,16,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0789016336461592,média
2,16,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.05963387788205306,média
2,16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.05874174487313174,máximo
2,16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.058460780906036375,máximo
2,16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.051790059089329155,mínimo
2,16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.05416232186305178,mínimo
1,16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.05941626129256428,raw
1,16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0779447533009034,raw
3,8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09113043478260868,raw
3,8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08550724637681158,raw
2,8,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10052173913043477,média
2,8,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08509999999999998,média
2,8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10260869565217391,máximo
2,8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0875855072463768,máximo
2,8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09078260869565216,mínimo
2,8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08088115942028984,mínimo
1,8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09140446475654772,raw
1,8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08289974805179585,raw
2,4,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0690880721220527,média
2,4,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0675833622283865,média
2,4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08521151178918168,máximo
2,4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.06852389620896901,máximo
2,4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07714979195561719,mínimo
2,4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.06848055362921868,mínimo
1,4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.06900502335419052,raw
1,4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.06896389647777679,raw
2,2,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0826863183752248,média
2,2,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07032833267535202,média
2,2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0784313725490196,máximo
2,2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07011375765817139,máximo
2,2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07338684914681756,mínimo
2,2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.06921524762030092,mínimo
1,2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08272155217619297,raw
1,2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07246256481967021,raw
3,256,PeriodicLoad,SingleApp,DispFrames,RT,0.0,raw
3,256,PeriodicLoad,SingleApp,DispFrames,RF,0.014384920634920641,raw
2,256,média,PeriodicLoad,SingleApp,DispFrames,RT,0.05952380952380953,média
2,256,média,PeriodicLoad,SingleApp,DispFrames,RF,0.008630952380952376,média
2,256,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.0,máximo
2,256,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.012351190476190472,máximo
2,256,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.005952380952380952,mínimo
2,256,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.015773809523809537,mínimo
1,256,PeriodicLoad,SingleApp,DispFrames,RT,0.08387096774193549,raw
1,256,PeriodicLoad,SingleApp,DispFrames,RF,0.08387096774193549,raw
3,128,PeriodicLoad,SingleApp,DispFrames,RT,0.06303724928366762,raw
3,128,PeriodicLoad,SingleApp,DispFrames,RF,0.08290353390639923,raw
2,128,média,PeriodicLoad,SingleApp,DispFrames,RT,0.08595988538681949,média
2,128,média,PeriodicLoad,SingleApp,DispFrames,RF,0.0928844317096466,média
2,128,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.0057306590257879654,máximo
2,128,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.06380133715377269,máximo
2,128,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.06590257879656161,mínimo
2,128,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.073567335243553,mínimo
1,128,PeriodicLoad,SingleApp,DispFrames,RT,0.0,raw
1,128,PeriodicLoad,SingleApp,DispFrames,RF,0.010833333333333339,raw
3,64,PeriodicLoad,SingleApp,DispFrames,RT,0.10277777777777777,raw
3,64,PeriodicLoad,SingleApp,DispFrames,RF,0.07055555555555554,raw
2,64,média,PeriodicLoad,SingleApp,DispFrames,RT,0.03472222222222222,média
2,64,média,PeriodicLoad,SingleApp,DispFrames,RF,0.07496527777777778,média
2,64,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.06388888888888888,máximo
2,64,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.07094907407407407,máximo
2,64,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.043055555555555555,mínimo
2,64,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.057418981481481474,mínimo
1,64,PeriodicLoad,SingleApp,DispFrames,RT,0.05146036161335188,raw
1,64,PeriodicLoad,SingleApp,DispFrames,RF,0.05596893834028744,raw
3,32,PeriodicLoad,SingleApp,DispFrames,RT,0.09129213483146068,raw
3,32,PeriodicLoad,SingleApp,DispFrames,RF,0.07897940074906366,raw
2,32,média,PeriodicLoad,SingleApp,DispFrames,RT,0.07303370786516854,média
2,32,média,PeriodicLoad,SingleApp,DispFrames,RF,0.0740578183520599,média
2,32,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.05056179775280898,máximo
2,32,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.07796699438202248,máximo
2,32,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.08075842696629212,mínimo
