experimento,período,carga,apps,feature,método,nmae,função
3,8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08552608695652172,raw
2,8,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11426086956521739,média
2,8,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08988695652173913,média
2,8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09495652173913043,máximo
2,8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08711739130434781,máximo
2,8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09860869565217391,mínimo
2,8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09077391304347823,mínimo
1,8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08577957461768325,raw
1,8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08162389406456906,raw
2,4,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08321775312066573,média
2,4,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07538936084142393,média
2,4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08399791955617197,máximo
2,4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07689045885344427,máximo
2,4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08720527045769765,mínimo
2,4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0768536176606565,mínimo
1,4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07772979642196175,raw
1,4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07623968156047119,raw
2,2,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08110716322323112,média
2,2,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07490715152578555,média
2,2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08224766416633768,máximo
2,2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07607397172142533,máximo
2,2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07540465850769838,mínimo
2,2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07570257782456755,mínimo
1,2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08503758084251005,raw
1,2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07499053195828234,raw
3,256,PeriodicLoad,SingleApp,DispFrames,RT,0.002976190476190476,raw
3,256,PeriodicLoad,SingleApp,DispFrames,RF,0.003606977513227567,raw
2,256,média,PeriodicLoad,SingleApp,DispFrames,RT,0.011904761904761904,média
2,256,média,PeriodicLoad,SingleApp,DispFrames,RF,0.00694444444444443,média
2,256,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.0,máximo
2,256,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.0008928571428571344,máximo
2,256,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.0,mínimo
2,256,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.010218253968253937,mínimo
1,256,PeriodicLoad,SingleApp,DispFrames,RT,0.08387096774193549,raw
1,256,PeriodicLoad,SingleApp,DispFrames,RF,0.08387096774193549,raw
3,128,PeriodicLoad,SingleApp,DispFrames,RT,0.0057306590257879654,raw
3,128,PeriodicLoad,SingleApp,DispFrames,RF,0.024689589302769814,raw
2,128,média,PeriodicLoad,SingleApp,DispFrames,RT,0.06590257879656161,média
2,128,média,PeriodicLoad,SingleApp,DispFrames,RF,0.03882521489971346,média
2,128,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.008595988538681949,máximo
2,128,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.015759312320916895,máximo
2,128,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.06303724928366762,mínimo
2,128,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.08120821394460365,mínimo
1,128,PeriodicLoad,SingleApp,DispFrames,RT,0.0,raw
1,128,PeriodicLoad,SingleApp,DispFrames,RF,0.008726851851851859,raw
3,64,PeriodicLoad,SingleApp,DispFrames,RT,0.03472222222222222,raw
3,64,PeriodicLoad,SingleApp,DispFrames,RF,0.04431712962962963,raw
2,64,média,PeriodicLoad,SingleApp,DispFrames,RT,0.05416666666666666,média
2,64,média,PeriodicLoad,SingleApp,DispFrames,RF,0.06712962962962964,média
2,64,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.05555555555555555,máximo
2,64,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.053078703703703704,máximo
2,64,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.11805555555555554,mínimo
2,64,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.07671296296296296,mínimo
1,64,PeriodicLoad,SingleApp,DispFrames,RT,0.05146036161335188,raw
1,64,PeriodicLoad,SingleApp,DispFrames,RF,0.05264255910987483,raw
