período,função,carga,apps,feature,método,switch,nmae,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.09021694080741244,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.09022015117673413,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.6251800423121494,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.6259852541441264,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.1360240374900258,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14141948517331357,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.08772693312587393,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.08772713449688796,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.7393343280259371,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.7390475339037653,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.1503365260896463,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14565729695471333,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.08636979991512178,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.08636980764423847,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.8319045734747283,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.8302591744520132,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.12461013594727899,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.1245757050488783,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.09170310201205992,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.09117352041333192,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.19979195633677133,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.19602567345931743,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13574030759040384,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.13336822912713692,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.08641374670048134,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.08646804858271658,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.2876746313553409,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.2894914858689803,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.12027271786379631,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.12153124892189335,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.08479586563307494,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.0847965546942291,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.40099533437014,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.4169202535239084,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13382966674941044,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.12714122435373654,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.08604748625030398,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.08604395073737002,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.4367173895016171,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.43589435276556937,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13037636329154045,
