# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
ST-F-01;1;2024-09-26 10:42:20 UTC;4;1.01;0.00;0.00;2.02;0.00;0.00;0.00;0.00;0.00;96.97
ST-F-01;1;2024-09-26 10:42:20 UTC;5;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:20 UTC;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:20 UTC;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:20 UTC;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:20 UTC;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:20 UTC;10;0.99;0.00;0.00;0.00;0.00;0.99;0.00;0.00;0.00;98.02
ST-F-01;1;2024-09-26 10:42:20 UTC;11;0.99;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;98.02
ST-F-01;1;2024-09-26 10:42:21 UTC;-1;0.25;0.00;0.33;0.17;0.00;0.08;0.17;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:21 UTC;0;0.00;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;99.01
ST-F-01;1;2024-09-26 10:42:21 UTC;1;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:21 UTC;2;0.98;0.00;0.00;0.00;0.00;0.00;0.98;0.00;0.00;98.04
ST-F-01;1;2024-09-26 10:42:21 UTC;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:21 UTC;4;0.00;0.00;1.02;2.04;0.00;0.00;0.00;0.00;0.00;96.94
ST-F-01;1;2024-09-26 10:42:21 UTC;5;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99
ST-F-01;1;2024-09-26 10:42:21 UTC;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:21 UTC;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:21 UTC;8;0.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.01
ST-F-01;1;2024-09-26 10:42:21 UTC;9;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:21 UTC;10;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:21 UTC;11;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:22 UTC;-1;2.51;0.00;0.84;0.17;0.00;0.17;0.08;0.00;0.00;96.24
ST-F-01;1;2024-09-26 10:42:22 UTC;0;2.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.98
ST-F-01;1;2024-09-26 10:42:22 UTC;1;2.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.98
ST-F-01;1;2024-09-26 10:42:22 UTC;2;2.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00
ST-F-01;1;2024-09-26 10:42:22 UTC;3;2.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;96.00
ST-F-01;1;2024-09-26 10:42:22 UTC;4;4.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00;93.00
ST-F-01;1;2024-09-26 10:42:22 UTC;5;4.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;94.00
ST-F-01;1;2024-09-26 10:42:22 UTC;6;2.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;96.00
ST-F-01;1;2024-09-26 10:42:22 UTC;7;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
ST-F-01;1;2024-09-26 10:42:22 UTC;8;2.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.98
ST-F-01;1;2024-09-26 10:42:22 UTC;9;1.01;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;97.98
ST-F-01;1;2024-09-26 10:42:22 UTC;10;3.03;0.00;2.02;0.00;0.00;1.01;1.01;0.00;0.00;92.93
ST-F-01;1;2024-09-26 10:42:22 UTC;11;3.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;96.04
