# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ST-F-01;1;2024-10-11 11:00:13 UTC;-1;1.17;0.00;0.42;0.17;0.00;98.24
ST-F-01;1;2024-10-11 11:00:14 UTC;-1;1.01;0.00;0.34;0.25;0.00;98.40
ST-F-01;1;2024-10-11 11:00:15 UTC;-1;3.02;0.00;0.67;0.17;0.00;96.14
ST-F-01;1;2024-10-11 11:00:16 UTC;-1;1.18;0.00;0.84;0.25;0.00;97.73
ST-F-01;1;2024-10-11 11:00:17 UTC;-1;0.84;0.00;0.42;0.25;0.00;98.48
ST-F-01;1;2024-10-11 11:00:18 UTC;-1;1.00;0.00;0.92;0.25;0.00;97.83
ST-F-01;1;2024-10-11 11:00:19 UTC;-1;1.24;0.00;1.66;0.25;0.00;96.85
ST-F-01;1;2024-10-11 11:00:20 UTC;-1;2.47;0.00;1.56;0.16;0.00;95.81
ST-F-01;1;2024-10-11 11:00:21 UTC;-1;1.24;0.00;1.41;0.17;0.00;97.18
ST-F-01;1;2024-10-11 11:00:22 UTC;-1;1.57;0.00;1.40;0.25;0.00;96.78
ST-F-01;1;2024-10-11 11:00:23 UTC;-1;1.57;0.00;1.41;0.17;0.00;96.85
ST-F-01;1;2024-10-11 11:00:24 UTC;-1;2.16;0.00;1.08;0.17;0.00;96.59
ST-F-01;1;2024-10-11 11:00:25 UTC;-1;1.76;0.00;0.75;0.25;0.00;97.24
ST-F-01;1;2024-10-11 11:00:26 UTC;-1;1.18;0.00;0.34;0.17;0.00;98.31
ST-F-01;1;2024-10-11 11:00:27 UTC;-1;1.01;0.00;0.34;0.17;0.00;98.48
ST-F-01;1;2024-10-11 11:00:28 UTC;-1;1.35;0.00;0.59;0.17;0.00;97.90
ST-F-01;1;2024-10-11 11:00:29 UTC;-1;1.34;0.00;0.75;0.17;0.00;97.74
ST-F-01;1;2024-10-11 11:00:30 UTC;-1;1.27;0.00;0.51;0.17;0.00;98.06
ST-F-01;1;2024-10-11 11:00:31 UTC;-1;1.35;0.00;0.34;0.25;0.00;98.07
ST-F-01;1;2024-10-11 11:00:32 UTC;-1;1.51;0.00;0.67;0.17;0.00;97.65
ST-F-01;1;2024-10-11 11:00:33 UTC;-1;0.76;0.00;0.34;0.17;0.00;98.73
ST-F-01;1;2024-10-11 11:00:34 UTC;-1;1.09;0.00;1.01;0.17;0.00;97.74
ST-F-01;1;2024-10-11 11:00:35 UTC;-1;3.02;0.08;0.42;0.25;0.00;96.22
ST-F-01;1;2024-10-11 11:00:36 UTC;-1;0.93;0.00;0.34;0.17;0.00;98.56
ST-F-01;1;2024-10-11 11:00:37 UTC;-1;1.18;0.17;0.59;0.17;0.00;97.90
ST-F-01;1;2024-10-11 11:00:38 UTC;-1;2.11;0.00;0.59;0.17;0.00;97.13
ST-F-01;1;2024-10-11 11:00:39 UTC;-1;1.18;0.00;0.34;0.17;0.00;98.32
ST-F-01;1;2024-10-11 11:00:40 UTC;-1;0.93;0.00;0.68;0.25;0.00;98.14
ST-F-01;1;2024-10-11 11:00:41 UTC;-1;0.67;0.00;0.34;0.08;0.00;98.90
ST-F-01;1;2024-10-11 11:00:42 UTC;-1;1.01;0.00;0.42;0.25;0.00;98.31
